track_id,split,genre_top,genre_id,audio_path,mel_path
2,training,Hip-Hop,3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000002.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000002.npy
5,training,Hip-Hop,3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000005.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000005.npy
10,training,Pop,6,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000010.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000010.npy
140,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000140.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000140.npy
141,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000141.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000141.npy
148,validation,Experimental,1,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000148.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000148.npy
182,test,Rock,7,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000182.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000182.npy
190,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000190.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000190.npy
193,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000193.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000193.npy
194,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000194.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000194.npy
197,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000197.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000197.npy
200,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000200.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000200.npy
203,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000203.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000203.npy
204,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000204.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000204.npy
207,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000207.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000207.npy
210,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000210.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000210.npy
211,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000211.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000211.npy
212,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000212.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000212.npy
213,training,Pop,6,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000213.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000213.npy
255,training,Rock,7,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000255.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000255.npy
256,training,Rock,7,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000256.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000256.npy
368,training,Rock,7,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000368.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000368.npy
424,training,Experimental,1,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000424.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000424.npy
459,validation,Rock,7,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000459.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000459.npy
534,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000534.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000534.npy
540,training,Folk,2,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/fma_small/000/000540.mp3,/Users/liliancazeres/Desktop/CS/Deep Learning/Projet/data/mels/000540.npy
